Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Base Currency, Plan Type (Plan1), Aggregation (Plan1), BusinessLine, Attribute_ByNature, Attribute_city
EN1021108, EN10218, 上海记者站, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021115, EN10218, 奢侈品, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021116, EN10218, 艺术频道, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021117, EN10218, 技术设计部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1021120, EN10218, 时尚移动端, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN10403, EN10218, 媒体平台_本部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN10222, EN102, 快站, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN1022201, EN10222, 快站_本部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN10402, EN10222, My Sohu产品部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN10404, EN10222, 微门户产品部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN103, END01, 搜狐市场部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_SM, Attri_北京
EN108, END01, 微博业务部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN111, END01, 网安中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN104, END01, 门户技术中心, false, store, false, , , , , unspecified, CNY, true, +, , , 
EN10410, EN104, 门户技术中心缺省, false, store, false, , , , , currency, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN10405, EN104, 应用运维部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN11407, EN104, 邮件中心, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN10406, EN104, 企业服务部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN10408, EN104, 社交媒体部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN122, EN104, 武汉研发, false, store, false, , , , , unspecified, CNY, true, +, Attri_Corp, Attri_PD, Attri_北京
EN10409, EN104, 基础研发部, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN10407, EN104, SendCloud, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN123, END01, 大数据中心-产品市场组, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
EN107, END01, 广告其他, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_Cost, Attri_北京
EN1051, END01, Go2map, false, store, false, , , , , unspecified, CNY, true, +, , , Attri_北京
END02, EN1, 搜狐媒体_移动端, false, store, false, , , , , unspecified, CNY, true, +, , , 
END0299, END02, 搜狐媒体_移动端_缺省, false, store, false, , , , , unspecified, CNY, true, +, Attri_Brand ad, Attri_PD, Attri_北京
