Spare2, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Aggregation (Plan1)
SP23S118, SP23, 光8241 联通土城九层_搜狐网络大厦(骨干网互联), false, store, false, DGPT接口, , , , unspecified, +
SP23S26, SP23, 光7768 联通土城九层_搜狐网络大厦(教育网互联), false, store, false, DGPT接口, , , , unspecified, +
SP23S28, SP23, 北京联通搜狐11F_融科办公区, false, store, false, DGPT接口, , , , unspecified, +
SP23S29, SP23, 北京联通融科物业线路, false, store, false, DGPT接口, , , , unspecified, +
SP23S30, SP23, 北京联通融科大厦C座_搜狐大厦体育部门, false, store, false, DGPT接口, , , , unspecified, +
SP23S32, SP23, 北京联通_济南联通2.5G长途电路, false, store, false, DGPT接口, , , , unspecified, +
SP23S33, SP23, 联通土城_河南郑州联通20M以太网专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S119, SP23, 皂君庙_兆维、土城_兆维互联设备维护费用, false, store, false, DGPT接口, , , , unspecified, +
SP23S132, SP23, 光1888&光1889 北京联通, false, store, false, DGPT接口, , , , unspecified, +
SP23S35, SP23, 搜狐网络大厦联通 120M互联网出口线路, false, store, false, DGPT接口, , , , unspecified, +
SP23S36, SP23, 北京联通皂君庙_福州, false, store, false, DGPT接口, , , , unspecified, +
SP23S37, SP23, 北京联通土城9F3机房到土城10F2机房, false, store, false, DGPT接口, , , , unspecified, +
SP23S133, SP23, 专线号08523062&08523063, false, store, false, DGPT接口, , , , unspecified, +
SP23S39, SP23, 北京联通土城7F到济南联通, false, store, false, DGPT接口, , , , unspecified, +
SP23S134, SP23, 光10733&光10734 北京联通北显, false, store, false, DGPT接口, , , , unspecified, +
SP23S40, SP23, 搜狐网络大厦电信 100M互联网出口线路, false, store, false, DGPT接口, , , , unspecified, +
SP23S41, SP23, 电信兆维到兆维楼内北京联通4芯光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S42, SP23, 北京电信电信通_搜狐大厦, false, store, false, DGPT接口, , , , unspecified, +
SP23S43, SP23, 上海电信到上海南汇, false, store, false, DGPT接口, , , , unspecified, +
SP23S44, SP23, 武汉电信二枢纽_北京电信兆维20M长途电路, false, store, false, DGPT接口, , , , unspecified, +
SP23S122, SP23, 武汉办公区语音线路专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S123, SP23, 武汉办公区_武汉电信IDC机房50M专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S45, SP23, 武汉办公区电信 30M互联网出口, false, store, false, DGPT接口, , , , unspecified, +
SP23S46, SP23, 搜狐网络大厦11层_丰台铁通IDC裸光纤电路, false, store, false, DGPT接口, , , , unspecified, +
SP23S47, SP23, 同方办公区至搜狐网络大厦联通2对专线合同(光8940、8941), false, store, false, DGPT接口, , , , unspecified, +
SP23S48, SP23, 同方办公区物业管道占用, false, store, false, DGPT接口, , , , unspecified, +
SP23S49, SP23, "北京物业公司融科A,C座互联", false, store, false, DGPT接口, , , , unspecified, +
SP23S50, SP23, 北京物业公司融科A座2F联通机房_C座南楼19F, false, store, false, DGPT接口, , , , unspecified, +
SP23S51, SP23, 北京物业公司融科A座2F联通机房_A座4F, false, store, false, DGPT接口, , , , unspecified, +
SP23S52, SP23, 融科物业管井占用费(联通2对、众屹赢时1对专线), false, store, false, DGPT接口, , , , unspecified, +
SP23S53, SP23, 北京物业公司搜狐11F_融科办公区, false, store, false, DGPT接口, , , , unspecified, +
SP23S54, SP23, 北京物业公司搜狐大厦_华清嘉园办公区, false, store, false, DGPT接口, , , , unspecified, +
SP23S55, SP23, 香港港交所实时行情接入线路费用, false, store, false, DGPT接口, , , , unspecified, +
SP23S62, SP23, 北京联通同方D座办公区_搜狐大厦, false, store, false, DGPT接口, , , , unspecified, +
SP23S64, SP23, 电信通酒仙桥鹏博士IDC_搜狐网络大厦11层, false, store, false, DGPT接口, , , , unspecified, +
SP23S65, SP23, 清华大学主楼306室到搜狐网络大厦11层2芯裸光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S66, SP23, 北京联通一条互联专用电路设备维护, false, store, false, DGPT接口, , , , unspecified, +
SP23S67, SP23, 北京联通公司融科A_C座互联, false, store, false, DGPT接口, , , , unspecified, +
SP23S86, SP23, 搜狐大厦_电信通IDC两条互联光纤租用费, false, store, false, DGPT接口, , , , unspecified, +
SP23S68, SP23, 搜狐媒体大厦至广州分公司10M网络专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S93, SP23, 香港办公室光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S85, SP23, 广州电信(人民中)机房_广州分公司裸光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S98, SP23, 网络大厦至媒体大厦第二运营商光缆, false, store, false, DGPT接口, , , , unspecified, +
SP23S87, SP23, 媒体大厦电信 100M互联网出口, false, store, false, DGPT接口, , , , unspecified, +
SP23S101, SP23, 北京移动丰台IDC至北京搜狐媒体大厦一对裸光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S90, SP23, 搜狐媒体大厦联通 120M互联网出口, false, store, false, DGPT接口, , , , unspecified, +
SP23S129, SP23, 网聚无限（云平台）CDN（静态内容）, false, store, false, DGPT接口, , , , unspecified, +
SP23S25, SP23, 光1888 北京联通皂君庙_北京电信兆维, false, store, false, DGPT接口, , , , unspecified, +
SP23S91, SP23, 光12616 搜狐媒体大厦_联通土城, false, store, false, DGPT接口, , , , unspecified, +
SP23S103, SP23, 湖北铁通, false, store, false, DGPT接口, , , , unspecified, +
SP23S96, SP23, 电信兆维_搜狐媒体大厦2芯裸光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S97, SP23, 电信_搜狐媒体大厦语音, false, store, false, DGPT接口, , , , unspecified, +
SP23S104, SP23, 上海联通, false, store, false, DGPT接口, , , , unspecified, +
SP23S107, SP23, 北京移动丰台_搜狐媒体大厦, false, store, false, DGPT接口, , , , unspecified, +
SP23S102, SP23, 商业CDN搜狐cdn机动储备, false, store, false, DGPT接口, , , , unspecified, +
SP23S110, SP23, 上海联通_上海办公区, false, store, false, DGPT接口, , , , unspecified, +
SP23S147, SP23, 香港和记电讯机房, false, store, false, DGPT接口, , , , unspecified, +
SP23S149, SP23, 南京移动, false, store, false, DGPT接口, , , , unspecified, +
SP23S125, SP23, 光8406 融科C座19F办公区至搜狐网络大厦11F机房联通点对点光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S136, SP23, 融科物业光纤管井租用, false, store, false, DGPT接口, , , , unspecified, +
SP23S151, SP23, 白山云CDN, false, store, false, DGPT接口, , , , unspecified, +
SP23S153, SP23, 深圳至广州10M专线, false, store, false, DGPT接口, , , , unspecified, +
SP23S111, SP23, 上海办公室(瑞安广场)_上海电信(南汇), false, store, false, DGPT接口, , , , unspecified, +
