Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AVD1030199, AVD10301, 人员费用_整体调整, false, store, false, , , AE1100_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10302, AVD103, 差旅应酬费用合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030201, AVD10302, 差旅应酬费用, false, store, false, , , AE1300_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030203, AVD10302, 部门活动, false, store, false, , , "AE1300_Budget, DGPT", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD1030299, AVD10302, 差旅应酬费用_整体调整, false, store, false, , , AE1300_Budget, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10303, AVD103, 技术服务费汇总, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD1030301, AVD10303, 技术服务费, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103030101, AVD1030301, 技术服务费_committed, false, store, false, , , "AE1500_Budget, DGPT", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103030102, AVD1030301, 技术服务费_uncommitted, false, store, false, , , "AE1500_Budget, DGPT", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030302, AVD10303, 技术服务费补入, false, store, false, , , AE1500_Budget, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD1030398, AVD10303, 技术服务费_VAT抵减, false, store, false, , , AE1589, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10304, AVD103, 市场费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030401, AVD10304, 市场推广费用, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD103040101, AVD1030401, 市场推广费用_committed, false, store, false, , , "DGPT, AE1601", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040102, AVD1030401, 市场推广费用_uncommitted, false, store, false, , , "DGPT, AE1601", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD1030405, AVD10304, 其他推广, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040501, AVD1030405, 其他推广_committed, false, store, false, , , "DGPT, AE1600_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040502, AVD1030405, 其他推广_uncommitted, false, store, false, , , "DGPT, AE1600_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030498, AVD10304, 市场费用_VAT抵减, false, store, false, , , AE1689, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030499, AVD10304, 市场费用_整体调整, false, store, false, , , AE1600_Eli, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030402, AVD103, 渠道费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040200, AVD1030402, 流量采购(含战略合作), false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040201, AVD103040200, 流量采购(含战略合作)_committed, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040202, AVD103040200, 流量采购(含战略合作)_uncommitted, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040203, AVD1030402, 移动视频推广, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10304020301, AVD103040203, 移动视频推广_committed, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10304020302, AVD103040203, 移动视频推广_uncommitted, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040204, AVD1030402, 搜狐影音推广, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10304020401, AVD103040204, 搜狐影音推广_committed, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10304020402, AVD103040204, 搜狐影音推广_uncommitted, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040298, AVD1030402, 渠道费用_VAT抵减, false, store, false, , , AE160302, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103040299, AVD1030402, 渠道费用_整体调整, false, store, false, , , AE160301, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305, AVD103, 内容采购费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050101, AVD10305, 视频版权摊销, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010101, AVD103050101, 视频版权摊销_committed, false, store, false, , , "DGPT, AE1702", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010102, AVD103050101, 视频版权摊销_uncommitted, false, store, false, , , "DGPT, AE1702", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050102, AVD10305, 其中:版权影响, false, store, false, , , AE1706, , currency, expense, flow, none, none, expense, Plan1, true, ~
AVD103050103, AVD10305, 音乐版权摊销, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10305010301, AVD103050103, 音乐版权摊销_committed, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010302, AVD103050103, 音乐版权摊销_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050104, AVD10305, 电视台版权, false, store, false, , , , , non-currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305010401, AVD103050104, 电视台版权_committed, false, store, false, , , "DGPT, AE1700_Budget", , non-currency, expense, flow, none, none, expense, Plan1, true, +
