Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
ASH1030117, ASH10301, 福利费_住房公积金, false, store, false, , , AE1204, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030118, ASH10301, 福利费_教育经费, false, store, false, , , AE1205, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030119, ASH10301, 福利费_工会经费, false, store, false, , , AE1206, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030120, ASH10301, 福利费_其他, false, store, false, , , AE1207, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030121, ASH10301, 福利费_残障金, false, store, false, , , AE1208, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030122, ASH10301, Stock  Compensation, false, store, false, , , AE1209, , unspecified, expense, flow, none, none, expense, Plan1, true, +
ASH1030198, ASH10301, 人员费用_VAT抵减, false, store, false, , , AE1189, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030199, ASH10301, 人员费用_整体调整, false, store, false, , , AE1100_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10302, ASH103, 差旅应酬费用, false, store, false, , , AE1300_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10303, ASH103, 专业服务费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030301, ASH10303, 专业服务费用_committed, false, store, false, , , "AE1500_Budget, DGPT", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030302, ASH10303, 专业服务费用_uncommitted, false, store, false, , , "AE1500_Budget, DGPT", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030303, ASH10303, 专业服务费用_VAT抵减, false, store, false, , , AE1589, , unspecified, expense, flow, none, none, expense, Plan1, true, +
ASH10304, ASH103, 市场推广费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030401, ASH10304, 日常推广, false, store, false, , , "DGPT, AE1601", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030402, ASH10304, 品牌推广, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103040201, ASH1030402, 品牌推广_committed, false, store, false, , , "DGPT, AE1602", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103040202, ASH1030402, 品牌推广_uncommitted, false, store, false, , , "DGPT, AE1602", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030498, ASH10304, 市场推广费用_VAT抵减, false, store, false, , , AE1689, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030499, ASH10304, 市场推广费用_整体调整, false, store, false, , , AE1600_Eli, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1030403, ASH103, 渠道费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103040301, ASH1030403, 渠道费用_committed, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103040302, ASH1030403, 渠道费用_uncommitted, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103040398, ASH1030403, 渠道费用_VAT抵减, false, store, false, , , AE160302, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103040399, ASH1030403, 渠道费用_整体调整, false, store, false, , , AE160301, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10305, ASH103, 内容采购费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
