Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AAT1030404, AAT10304, SAA运营, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AAT103040401, AAT1030404, SAA运营_committed, false, store, false, , , "DGPT, AE1604", , currency, expense, flow, none, none, expense, Plan1, true, +
AAT103040402, AAT1030404, SAA运营_uncommitted, false, store, false, , , "DGPT, AE1604", , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030405, AAT10304, PR及广告费用, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT103040501, AAT1030405, PR及广告费用_committed, false, store, false, , , "DGPT, AE1600_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT103040502, AAT1030405, PR及广告费用_uncommitted, false, store, false, , , "DGPT, AE1600_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT1030406, AAT10304, 市场研究及外包, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT103040601, AAT1030406, 市场研究及外包_committed, false, store, false, , , "DGPT, AE1600_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT103040602, AAT1030406, 市场研究及外包_uncommitted, false, store, false, , , "DGPT, AE1600_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT1030407, AAT10304, 地方站推广, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT103040701, AAT1030407, 地方站推广_committed, false, store, false, , , "DGPT, AE1600_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT103040702, AAT1030407, 地方站推广_uncommitted, false, store, false, , , "DGPT, AE1600_Budget", , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT1030498, AAT10304, 市场推广费用_VAT抵减, false, store, false, , , AE1689, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030499, AAT10304, 市场推广费用_整体调整, false, store, false, , , AE1600_Eli, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030402, AAT103, 渠道费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AAT103040201, AAT1030402, 渠道费用_committed, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AAT103040202, AAT1030402, 渠道费用_uncommitted, false, store, false, , , "DGPT, AE160301", , currency, expense, flow, none, none, expense, Plan1, true, +
AAT103040298, AAT1030402, 渠道费用_VAT抵减, false, store, false, , , AE160302, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT103040299, AAT1030402, 渠道费用_整体调整, false, store, false, , , AE160301, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10305, AAT103, 内容采购费用, false, store, false, , , AE1700_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10306, AAT103, 通讯费用, false, store, false, , , AE2500_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10307, AAT103, 坏账费用, false, store, false, , , AE2000, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10308, AAT103, 折旧费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030801, AAT10308, 员工类折旧费用, false, store, false, , , AE2100_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030802, AAT10308, 服务器类折旧费用, false, store, false, , , AE2100_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030803, AAT10308, 软件类折旧费用, false, store, false, , , AE2204, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1030804, AAT10308, 折旧费用_整体调整, false, store, false, , , AE2100_Budget, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AAT10309, AAT103, 其他资产分摊, false, store, false, , , AE2200_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10310, AAT103, 办公费用, false, store, false, , , AE1900_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10311, AAT103, 公摊费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1031101, AAT10311, 公司分摊公摊费用, false, store, false, , , AE1800_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1031102, AAT10311, 其他分摊公摊费用, false, store, false, , , "DGPT, AE1800_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AAT1031103, AAT10311, 部门自有公摊费用, false, store, false, , , "DGPT, AE1800_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10312, AAT103, 培训费用, false, store, false, , , AE1401, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10313, AAT103, 销售费用分摊, false, store, false, , , AE2602, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10314, AAT103, Back office费用分摊, false, store, false, , , AE2602, , currency, expense, flow, none, none, expense, Plan1, true, +
AAT10315, AAT103, Intangible Assets Impairment, false, store, false, , , AE2700, , currency, expense, flow, none, none, expense, Plan1, true, -
AAT10316, AAT103, Goodwill Impairment, false, store, false, , , AE2800, , currency, expense, flow, none, none, expense, Plan1, true, -
AAT2, Account, Capex工作科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT201, AAT2, 采购金额, false, store, false, , , "DGPT, AFN41", , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT202, AAT2, 到货金额, false, store, false, , , "DGPT, AFN42", , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT3, Account, HC预算, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT301, AAT3, 可招人数预算, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT30102, AAT301, 新增可招人数, false, store, false, , , AFN50102, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT3010, AAT301, 期末可招人数, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT30101, AAT3010, 期末全职可招人数, false, store, false, , , AFN50101, , non-currency, saved assumption, balance, none, none, non-expense, Plan1, true, +
AAT30103, AAT3010, 期末兼职可招人数, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT302, AAT3, 期末到岗, false, store, false, , , , , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, ~
AAT30201, AAT302, 期末全职到岗, false, store, false, , , AFN50201, , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, +
AAT30202, AAT302, 期末兼职到岗, false, store, false, , , AFN50202, , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, +
AAT303, AAT3, 新增到岗, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT30301, AAT303, 新增全职到岗, false, store, false, , , AFN50301, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT30302, AAT303, 新增兼职到岗, false, store, false, , , AFN50302, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT4, Account, 其他工作科目, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT401, AAT4, 人员费用工作科目, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT40101, AAT401, 月度到岗比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT40102, AAT401, 基本工资_员工, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010201, AAT40102, 基本工资_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT4010202, AAT40102, 基本工资_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT40103, AAT401, Assumption, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010301, AAT40103, 平均工资, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT401030101, AAT4010301, 平均工资_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT401030102, AAT4010301, 平均工资_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AAT4010302, AAT40103, 餐补, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010303, AAT40103, 工资涨幅比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010304, AAT40103, PM Rate, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010305, AAT40103, Overtime Rate, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010306, AAT40103, 外企服务费_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010307, AAT40103, 外企服务费_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AAT4010308, AAT40103, 销售人员奖金计算比例_工资福利, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, never
AAT4010309, AAT40103, 销售人员奖金计算比例_收入, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, never
