Entity_Code,Parent_Entity,名称
EN20309,EN203,西南区_新房
EN2030906,EN20309,区域运营_西南区_新房
EN2030901,EN20309,新房_重庆
EN2030907,EN20309,新房_乔戈里
EN2030902,EN20309,新房_成都
EN2030903,EN20309,新房_西安
EN2030905,EN20309,新房_南宁
EN2030904,EN20309,新房_昆明
EN20302,EN203,新房_后台
EN205,EN2,新房_加盟站
EN202,EN2,家居_焦点
EN20201,EN202,华北区_家居_13
EN20202,EN202,华东区_家居_13
EN20203,EN202,华南区_家居_13
EN20205,EN202,后台_家居_13
EN20206,EN202,家居_广告媒体中心
EN20207,EN202,家居_网站运营部
EN20209,EN202,家居_策略部
EN20208,EN202,家居_设计师部
EN20204,EN202,家居_装修服务中心
EN201,EN2,二手房_焦点
EN20101,EN201,二手房_北京
EN20103,EN201,二手房_天津
EN20102,EN201,二手房_上海
EN20107,EN201,二手房_深圳
EN20106,EN201,二手房_广州
EN20104,EN201,二手房_成都
EN20109,EN201,二手房_重庆
EN20110,EN201,二手房_苏州
EN20111,EN201,二手房_石家庄
EN20112,EN201,二手房_昆明
EN20108,EN201,二手房_后台
EN204,EN2,全国支持_焦点
EN20403,EN204,全国支持_经营管理中心
EN20404,EN204,全国支持_市场部
EN20401,EN204,全国支持_产品部
EN20402,EN204,移动事业部_全国支持
EN20406,EN204,思源_全国支持_13
EN20405,EN204,全国支持_管理部
EN20407,EN204,员工服务中心_全国支持
EN20408,EN204,财务/法律/人事_全国支持
EN3,SOHU,汽车
EN300,EN3,汽车_缺省
EN399,EN3,汽车_调整
EN301,EN3,外站_汽车
EN30101,EN301,东北区_汽车
EN30102,EN301,华北区_汽车
EN30106,EN301,华东区_汽车
EN30107,EN301,华南区_汽车
EN30105,EN301,华中区_汽车
EN30103,EN301,山东区_汽车
EN30104,EN301,苏皖区_汽车
EN30108,EN301,西部区_汽车
EN30109,EN301,区域支持_汽车
EN302,EN3,总部_汽车
EN30204,EN302,高管组_汽车
EN30205,EN302,行政组_汽车
EN30212,EN302,总编室_汽车
EN30208,EN302,市场部_汽车
EN30211,EN302,营销策略中心_汽车
EN30210,EN302,新闻中心_汽车
EN30218,EN302,咨询产品技术部_汽车
EN30216,EN302,二手车中心_汽车
EN30214,EN302,评测中心_汽车
EN30219,EN302,车型库中心_汽车
EN30215,EN302,报价库中心_汽车
EN30220,EN302,车迷中心_汽车
EN30201,EN302,产品中心_汽车
EN30206,EN302,互动中心_汽车
EN30213,EN302,数据中心_汽车
EN30217,EN302,移动中心_汽车
EN30207,EN302,技术中心_汽车
EN30203,EN302,服务营销中心_汽车
EN30222,EN302,内容及运营中心一部_汽车
EN30223,EN302,内容及运营中心二部_汽车
EN30224,EN302,内容及运营中心三部_汽车
EN30225,EN302,内容及运营中心四部_汽车
EN30226,EN302,媒体产品中心_汽车
EN30227,EN302,自媒体运营组_汽车
EN30202,EN302,导购中心_汽车
EN30221,EN302,新平台_汽车
EN3022104,EN30221,高管_新平台_汽车
EN3022102,EN30221,产品中心_新平台_汽车
EN3022101,EN30221,内容中心_新平台_汽车
EN30209,EN30221,技术中心_新平台_汽车
EN3022103,EN30221,买车宝_新平台_汽车
EN30228,EN302,车主服务中心_汽车
EN30229,EN302,视频组_汽车
EN4,SOHU,视频
EN400,EN4,视频_缺省
EN499,EN4,视频_调整
EN403,EN4,内容运营_视频
EN40301,EN403,内容编辑部_视频
EN40302,EN403,广电合作部_视频
EN412,EN4,市场推广中心_视频
EN411,EN4,艺人合作中心_视频
EN41101,EN411,艺人中心_视频
EN41102,EN411,大型活动部_视频
EN410,EN4,版权影视中心_视频
EN404,EN410,版权采购部_视频
EN405,EN410,版权分销部_视频
EN406,EN410,影视剧投资部_视频
EN407,EN410,影视制作部_视频
EN402,EN4,技术中心_视频
EN40206,EN402,技术成本_视频
EN40203,EN402,技术部_视频
EN40201,EN402,付费用户_视频
EN40202,EN402,互动直播部_视频
EN40211,EN4,前向事业部-cost虚拟部门
EN40212,EN4,移动视频游戏运营部-cost虚拟部门
EN40209,EN4,Number_视频
EN40210,EN4,视频-corp_前向事业部
EN40205,EN4,产品中心_视频
EN40207,EN4,产品技术中心_视频
EN401,EN4,广告销售_视频
EN408,EN4,市场沟通中心_视频
EN40901,EN4,经营管理中心_视频
EN4090101,EN40901,商务发展部_视频
EN4090102,EN40901,经营管理部_视频
EN40902,EN4,员工中心_视频
EN409,EN4,视频虚拟部门_视频
EN40903,EN409,财务部_视频
EN40904,EN409,法律部_视频
EN40905,EN409,内部审计部_视频
EN40906,EN409,人力资源部_视频
EN40907,EN409,管理部_视频
EN40908,EN409,分摊费用部门_视频
EN413,EN4,多屏互动云平台_视频
EN40204,EN413,移动视频中心_多屏互动云平台
EN40213,EN413,游戏运营部_多屏互动云平台
EN40214,EN413,OTT_多屏互动云平台
EN40215,EN413,基础运营部_多屏互动云平台
EN40208,EN413,前向事业部_多屏互动云平台
EN414,EN4,商业产品技术中心_视频
GROUP_EN,GROUP,集团调整
NoEntity,Entity,与部门无关
EN6,Entity,报表辅助部门
ENVTotal,EN6,视频分端汇总
EN603,ENVTotal,视频-PC端
EN604,ENVTotal,视频-移动端
EN606,ENVTotal,视频-前项收费
EN607,ENVTotal,视频-Corp
EN611,ENVTotal,视频：传统广告+PGC
EN612,ENVTotal,视频：付费
EN613,ENVTotal,视频：增值+游戏（原SP业务）
EN614,ENVTotal,视频：直播
EN615,ENVTotal,视频：其他（分销、ITV等）
ENCYTotal,EN6,畅游合计
ENCY01,ENCYTotal,畅游：游戏
ENCY02,ENCYTotal,畅游：17173
ENCY03,ENCYTotal,畅游：互联
ENCY04,ENCYTotal,畅游：晶茂
ENCY06,ENCYTotal,畅游：RC
ENCY05,ENCYTotal,畅游：其他
EN601,EN6,搜狐门户
END01,EN601,搜狐媒体_PC端
END02,EN601,搜狐媒体_移动端
EN602,EN6,CorporateTotal
EN1,EN602,大搜狐
EN110,EN602,SP业务
END02,EN602,搜狐媒体_移动端
END01,EN602,搜狐媒体_PC端
EN605,EN6,新闻财经中心(测试)
EN10202,EN605,财经中心
EN10203,EN605,城市频道
EN10207,EN605,金融中心
EN10209,EN605,新闻中心
EN10210,EN605,总编室
EN10213,EN605,军事中心_大内容
EN10215,EN605,文化中心_大内容
EN609,EN6,资讯中心(测试)
EN10201,EN609,BD
EN10205,EN609,搜狐社区中心
EN10211,EN609,媒体组
EN10214,EN609,彩票频道
EN10212,EN609,移动媒体部_大内容
EN10208,EN609,新媒体中心
EN113,EN609,科技
EN608,EN6,大内容媒体产品
EN10214,EN608,彩票频道
EN699,EN6,技术中心&BackOffice部门合计
EN10206,EN6,体育中心
EN10200,EN6,大内容_缺省
EN10216,EN6,搜狐新闻视频部（邱启明）
EN10204,EN6,媒体合作中心
EN10203,EN6,城市频道
EN10205,EN6,搜狐社区中心
